iter	Passed	Remaining
401	14909	22178
402	14959	22161
403	15007	22139
404	15046	22104
405	15091	22079
406	15133	22048
407	15181	22028
408	15229	22006
409	15284	21995
410	15355	22006
411	15414	21999
412	15490	22016
413	15552	22014
414	15644	22052
415	15710	22055
416	15777	22058
417	15877	22107
418	15927	22085
419	15969	22052
420	16005	22012
421	16046	21978
422	16089	21947
423	16132	21915
424	16176	21885
425	16216	21850
426	16263	21824
427	16309	21796
428	16355	21769
429	16390	21727
430	16425	21685
431	16463	21646
432	16496	21601
433	16528	21555
434	16563	21513
435	16594	21466
436	16627	21421
437	16659	21375
438	16690	21329
439	16722	21282
440	16775	21263
441	16822	21237
442	16872	21215
443	16921	21190
444	16970	21165
445	17004	21122
446	17042	21083
447	17077	21041
448	17111	20999
449	17142	20952
450	17177	20909
451	17209	20864
452	17241	20818
453	17276	20778
454	17311	20735
455	17346	20694
456	17377	20647
457	17404	20596
458	17436	20551
459	17474	20513
460	17511	20473
461	17543	20429
462	17577	20387
463	17615	20348
464	17648	20305
465	17686	20266
466	17717	20220
467	17748	20176
468	17780	20131
469	17809	20082
470	17842	20040
471	17877	19998
472	17915	19961
473	17948	19917
474	17983	19876
475	18025	19843
476	18062	19804
477	18099	19765
478	18132	19722
479	18171	19685
480	18206	19644
481	18245	19607
482	18278	19565
483	18321	19532
484	18360	19496
485	18396	19456
486	18428	19412
487	18462	19369
488	18492	19324
489	18524	19280
490	18558	19238
491	18592	19197
492	18625	19154
493	18662	19115
494	18701	19079
495	18734	19036
496	18769	18996
497	18807	18958
498	18840	18916
499	18878	18878
500	18914	18838
501	18952	18801
502	18984	18758
503	19028	18726
504	19067	18689
505	19103	18650
506	19142	18614
507	19175	18571
508	19211	18532
509	19251	18496
510	19286	18456
511	19326	18420
512	19370	18388
513	19401	18344
514	19434	18302
515	19467	18260
516	19499	18216
517	19530	18172
518	19559	18127
519	19593	18086
520	19629	18046
521	19665	18008
522	19700	17968
523	19735	17927
524	19773	17890
525	19810	17852
526	19846	17813
527	19885	17776
528	19922	17737
529	19962	17702
530	20011	17674
531	20051	17639
532	20087	17600
533	20126	17563
534	20162	17524
535	20202	17489
536	20237	17448
537	20278	17413
538	20320	17379
539	20364	17347
540	20396	17304
541	20429	17263
542	20460	17219
543	20492	17177
544	20528	17138
545	20561	17096
546	20593	17054
547	20623	17010
548	20663	16975
549	20696	16933
550	20733	16895
551	20770	16856
552	20807	16819
553	20848	16784
554	20886	16746
555	20923	16708
556	20959	16669
557	20996	16631
558	21028	16589
559	21064	16550
560	21106	16516
561	21141	16476
562	21180	16440
563	21226	16409
564	21276	16381
565	21317	16345
566	21361	16312
567	21402	16278
568	21438	16239
569	21470	16196
570	21502	16155
571	21536	16114
572	21567	16072
573	21598	16029
574	21628	15985
575	21664	15947
576	21701	15909
577	21730	15865
578	21769	15828
579	21804	15789
580	21840	15751
581	21875	15711
582	21916	15676
583	21961	15643
584	22006	15611
585	22046	15575
586	22093	15544
587	22139	15512
588	22173	15472
589	22211	15435
590	22247	15396
591	22285	15358
592	22325	15322
593	22363	15285
594	22396	15244
595	22433	15206
596	22474	15171
597	22517	15136
598	22556	15100
599	22588	15059
600	22621	15018
601	22664	14984
602	22702	14946
603	22736	14906
604	22779	14872
605	22818	14835
606	22857	14798
607	22904	14767
608	22947	14733
609	23002	14706
610	23054	14677
611	23098	14644
612	23137	14607
613	23172	14568
614	23212	14531
615	23245	14490
616	23290	14457
617	23336	14424
618	23370	14384
619	23406	14345
620	23445	14308
621	23477	14267
622	23510	14227
623	23548	14189
624	23588	14153
625	23626	14115
626	23664	14077
627	23709	14044
628	23740	14002
629	23777	13964
630	23816	13927
631	23853	13889
632	23892	13852
633	23927	13813
634	23965	13775
635	24002	13737
636	24043	13701
637	24085	13665
638	24124	13628
639	24163	13591
640	24196	13551
641	24231	13512
642	24275	13477
643	24310	13438
644	24349	13401
645	24383	13361
646	24415	13321
647	24449	13281
648	24482	13240
649	24514	13200
650	24548	13160
651	24582	13120
652	24622	13084
653	24657	13045
654	24696	13008
655	24731	12968
656	24766	12929
657	24803	12891
658	24837	12852
659	24875	12814
660	24919	12780
661	24959	12743
662	24997	12705
663	25037	12669
664	25074	12631
665	25108	12592
666	25143	12552
667	25172	12511
668	25204	12470
669	25241	12432
670	25279	12394
671	25337	12366
672	25374	12328
673	25408	12289
674	25445	12251
675	25478	12211
676	25513	12172
677	25546	12132
678	25581	12093
679	25615	12054
680	25649	12014
681	25685	11976
682	25722	11938
683	25756	11899
684	25788	11859
685	25834	11825
686	25868	11785
687	25905	11747
688	25945	11711
689	25979	11672
690	26016	11634
691	26053	11595
692	26085	11556
693	26119	11516
694	26156	11478
695	26189	11439
696	26221	11399
697	26264	11363
698	26301	11325
699	26331	11285
700	26363	11244
701	26395	11204
702	26429	11165
