iter	RMSE
270	507.5233068
271	506.4926265
272	505.5195635
273	504.4362375
274	504.0422399
275	503.9889913
276	503.1503071
277	502.2659894
278	501.251107
279	501.1607348
280	500.3959421
281	499.8061125
282	499.0865265
283	499.0137069
284	498.3517881
285	498.2797831
286	497.7160466
287	496.980916
288	496.4714311
289	495.6364452
290	495.168942
291	494.7476559
292	494.6847866
293	494.1164022
294	493.6111307
295	493.0508898
296	492.7371959
297	492.245419
298	491.7242196
299	491.0854199
300	490.8173061
301	490.3538547
302	489.9924059
303	489.4873384
304	489.235278
305	488.7969007
306	488.277053
307	487.8116001
308	487.6180959
309	487.544906
310	487.0668461
311	486.590325
312	486.3594724
313	486.0080668
314	485.6249541
315	485.3178578
316	485.030358
317	484.5949466
318	484.440283
319	484.1839799
320	483.7791497
321	483.5285584
322	483.260608
323	483.1952026
324	483.1233153
325	482.808739
326	482.7410808
327	482.5107083
328	482.4501092
329	482.3167246
330	482.2542693
331	482.0372377
332	481.708894
333	481.4842647
334	481.1780973
335	481.1346028
336	480.9559144
337	480.6841768
338	480.4402498
339	480.1677149
340	480.1179813
341	479.959318
342	479.7170001
343	479.408715
344	479.3488182
345	479.2052192
346	479.1489847
347	478.8191346
348	478.5740901
349	478.5211903
350	478.4737477
351	478.3891872
352	478.1829568
353	478.1338446
354	478.0971984
355	478.0478263
356	477.9825965
357	477.9225443
358	477.7104065
359	477.6006982
360	477.2959505
361	477.037992
362	476.8262369
363	476.7674063
364	476.7326322
365	476.6840758
366	476.5400148
367	476.4907928
368	476.2455235
369	476.0510033
370	475.9410239
371	475.7380573
372	475.5997387
373	475.4513231
374	475.408088
375	475.353309
376	475.3186282
377	475.2781982
378	475.1889722
379	475.1343451
380	474.9662734
381	474.881512
382	474.8025225
383	474.7486053
384	474.7154365
385	474.5775755
386	474.4594229
387	474.4089575
388	474.3715743
389	474.2864485
390	474.2468617
391	474.0263139
392	473.9907668
393	473.8689752
394	473.7170234
395	473.6344007
396	473.4816798
397	473.4355263
398	473.3916936
399	473.2471766
400	473.0872648
401	473.0458234
402	472.9970619
403	472.9538449
404	472.7845602
405	472.6563093
406	472.6105996
407	472.5448146
408	472.475759
409	472.3528551
410	472.3084049
411	472.2635169
412	472.234172
413	472.1018321
414	471.9165887
415	471.8766768
416	471.8326352
417	471.6931585
418	471.6050156
419	471.5292473
420	471.4793008
421	471.4493419
422	471.4212028
423	471.3789717
424	471.3397078
425	471.2244905
426	471.181474
427	471.149215
428	471.0214028
429	470.9753025
430	470.8582151
431	470.818676
432	470.7714101
433	470.6948876
434	470.6659808
435	470.6361232
436	470.6100119
437	470.5848409
438	470.5368014
439	470.5032058
440	470.4714773
441	470.4471339
442	470.2844499
443	470.2613941
444	470.1808717
445	470.0943333
446	470.0543183
447	469.9070825
448	469.8699966
449	469.8460927
450	469.7967081
451	469.6977792
452	469.6728862
453	469.6399481
454	469.562402
455	469.5262556
456	469.4807063
457	469.4484338
458	469.4119933
459	469.22304
460	469.1015481
461	469.0302432
462	469.0083904
463	468.9724493
464	468.9355583
465	468.8258781
466	468.6852836
467	468.6569433
468	468.5031109
469	468.4350703
470	468.3968313
471	468.3510322
472	468.2973024
473	468.2561188
474	468.1703625
475	468.1280932
476	468.0955857
477	468.0555508
478	467.9650072
479	467.9366137
480	467.9024045
481	467.8737746
482	467.8521157
483	467.7918958
484	467.7685807
485	467.6450298
486	467.6214563
487	467.5816193
488	467.5473353
489	467.5235679
490	467.4991306
491	467.4613851
492	467.4252725
493	467.3860149
494	467.3409983
495	467.2413235
496	467.200739
497	467.1770317
498	467.1363998
499	467.1160435
500	467.0798004
501	467.0261876
502	466.9360953
503	466.9156687
504	466.9007562
505	466.8651343
506	466.8394892
507	466.7960097
508	466.7639976
509	466.6939366
510	466.667218
511	466.5811382
512	466.5640642
513	466.4815802
514	466.4548571
515	466.4229879
516	466.3811924
517	466.3454857
518	466.298269
519	466.2269131
520	466.1820742
521	466.1157584
522	466.0530761
523	466.0112805
524	465.9859166
525	465.9487207
526	465.9100426
527	465.8495155
528	465.818835
529	465.7982087
530	465.6750104
531	465.6484197
532	465.5826453
533	465.5451016
534	465.5093549
535	465.4781202
536	465.4542213
537	465.4118431
538	465.3816711
539	465.3085581
540	465.2607133
541	465.2310076
542	465.1982597
543	465.1643426
544	465.0954601
545	465.0205232
546	464.9896373
547	464.9581677
548	464.9281296
549	464.8964727
550	464.8563365
551	464.8201281
552	464.7981455
553	464.764336
554	464.7000181
555	464.683832
556	464.6551915
557	464.6359721
558	464.6142186
559	464.5848225
560	464.5542253
561	464.5300354
562	464.4944763
563	464.4647713
564	464.4176767
565	464.3827388
566	464.3552697
567	464.3265925
568	464.3001578
569	464.2741004
570	464.2078014
571	464.170011
572	464.1333084
573	464.1012469
574	464.0779651
575	464.0306306
576	464.0045673
577	463.9751237
578	463.9472575
579	463.9189365
580	463.8954441
581	463.8517868
582	463.8240895
583	463.7975149
584	463.7705787
585	463.7457296
586	463.7237182
587	463.693588
588	463.6614464
589	463.6201096
590	463.5788906
591	463.5457111
592	463.5308833
593	463.4901074
594	463.4579279
595	463.4114298
596	463.335271
597	463.3120611
598	463.2819515
599	463.2595813
600	463.2199016
601	463.2002043
602	463.1834737
603	463.1554255
604	463.1370702
605	463.1117285
606	463.0787885
607	463.0522205
608	463.0096031
609	462.9785369
610	462.9241763
611	462.9080362
612	462.8815686
613	462.8573259
614	462.8347179
615	462.8096818
616	462.7498792
617	462.7174779
618	462.681508
619	462.655044
620	462.6206729
621	462.6041728
622	462.5720943
623	462.5312007
624	462.5039215
625	462.4679048
626	462.4068769
627	462.3831606
628	462.3348672
629	462.3019698
630	462.2631089
631	462.2294729
632	462.1908663
633	462.1674237
634	462.1491785
635	462.1192945
636	462.0972312
637	462.0555061
638	462.0172967
639	461.9891544
640	461.9665353
641	461.9445188
642	461.9295914
643	461.8922865
644	461.8397152
645	461.8097951
646	461.7736625
647	461.7465593
648	461.7188866
649	461.6940681
650	461.6606279
651	461.6272127
652	461.60053
653	461.5589902
654	461.5397928
655	461.5153746
656	461.489763
657	461.4474486
658	461.4146844
659	461.3905749
660	461.3785334
661	461.3506418
662	461.3296208
663	461.2756471
664	461.2538928
665	461.176622
666	461.0984519
667	461.0624397
668	461.0346033
669	461.0131279
670	460.9879205
671	460.9583177
672	460.9415914
673	460.9189002
674	460.8674853
675	460.8136002
676	460.7755083
677	460.7536543
678	460.7087
679	460.676191
680	460.6125693
681	460.5963519
682	460.5722749
683	460.5487139
684	460.5152407
685	460.481973
686	460.4517222
687	460.43742
688	460.4231376
689	460.4027501
690	460.3892864
691	460.3578179
692	460.3345067
693	460.2891553
694	460.2635339
695	460.2290745
696	460.1871659
697	460.1564941
698	460.0608036
699	460.0413725
700	460.0141564
701	460.0009111
702	459.9724201
703	459.9538564
704	459.9345858
705	459.9097027
706	459.8843238
707	459.8595501
708	459.8333336
709	459.8107059
710	459.7815033
711	459.7598428
712	459.734402
713	459.6724277
714	459.6413568
715	459.6102877
716	459.5806027
717	459.5519254
718	459.5258617
719	459.504294
720	459.4708943
721	459.4479962
722	459.4122791
723	459.3983218
724	459.3715228
725	459.3395615
726	459.3179667
727	459.2948686
728	459.2659124
729	459.2452704
730	459.2196961
731	459.2027955
732	459.1875448
733	459.1632
734	459.1432212
735	459.1055141
736	459.084838
737	459.0698134
738	459.0382585
739	459.0026124
740	458.9694354
741	458.9354982
742	458.8866489
743	458.8522069
744	458.8254759
745	458.8067057
746	458.7397909
747	458.7149732
748	458.6859982
749	458.6708089
750	458.6343704
751	458.6052817
752	458.5732431
753	458.5312902
754	458.5139093
755	458.4875289
756	458.4713092
757	458.4432807
758	458.427905
759	458.4036939
760	458.3668928
761	458.3404169
762	458.2999503
763	458.2856157
764	458.2624987
765	458.1972446
766	458.1721655
767	458.1550821
768	458.144194
769	458.1113589
770	458.0997208
771	458.0524318
772	458.0128336
773	457.9851019
774	457.9648726
775	457.9506045
776	457.9295586
777	457.9036168
778	457.8831346
779	457.8649485
780	457.8101143
781	457.781447
782	457.7513072
783	457.7097544
784	457.6806238
785	457.6497855
786	457.6251588
787	457.599169
788	457.5734646
789	457.5444042
790	457.5196534
791	457.492755
792	457.4822357
793	457.459003
794	457.4319802
795	457.4092137
796	457.3791254
797	457.355202
798	457.3166547
799	457.2851464
800	457.2636791
801	457.2361152
802	457.2101448
803	457.1896327
804	457.1679419
805	457.1453506
806	457.1298389
807	457.1112318
808	457.093229
809	457.0759387
810	457.0655218
811	457.039594
812	457.0082304
813	456.980545
814	456.9514134
815	456.9158298
816	456.8963335
817	456.8760821
818	456.8516299
819	456.8359114
820	456.8043031
821	456.7807158
822	456.7592108
823	456.7332446
824	456.6885348
825	456.6664741
826	456.6485167
827	456.6202835
828	456.5886369
829	456.5505084
830	456.5373177
831	456.5025569
832	456.4796761
833	456.448024
834	456.4190219
835	456.38904
836	456.3767725
837	456.3567607
838	456.3192782
839	456.2960689
840	456.277811
841	456.2424225
842	456.2209463
843	456.1970232
844	456.1673686
845	456.1450335
846	456.0724521
847	456.056786
848	456.025283
849	456.00142
850	455.9693332
851	455.9377135
852	455.9162742
853	455.8964832
854	455.87455
855	455.8606258
856	455.8382904
857	455.8158544
858	455.7872706
859	455.7516115
860	455.7333862
861	455.7121789
862	455.6907305
863	455.6479449
864	455.6198883
865	455.6024784
866	455.5628709
867	455.5383389
868	455.4952964
869	455.4763567
870	455.4499512
871	455.4294631
872	455.4018563
873	455.3685753
874	455.3471278
875	455.3216862
876	455.3019665
877	455.2840735
878	455.2586901
